filename,affinity,rmsd,smiles
Z934737468,7.38210,0.72993,CCN(CC)CC1CCN(C(=O)c2ccc(OCC(N)=O)cc2)CC1
Z1336809151,-9.16095,0.73055,O=C(Nc1ccc2oc(=O)[nH]c2c1)c1ccc(C(=O)c2cc[nH]c2)cc1
Z5084040148,-4.83314,0.73101,COC[C@]12CCO[C@H]1CN(C(=O)c1cn(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nn1)C2
Z4339119160,-7.60962,0.73718,NC(=O)c1csc(C(=O)Nc2ccc(-c3cccc(O)c3)cc2)c1
Z1543415309,-7.84094,0.74709,Cc1[nH]o/c(=N/S(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(C#N)cc3)cc2)c1C
Z5589519179,-4.51429,0.74888,O=C1CC[C@@H](N2C(=O)C[C@H](Cc3cn(CCO)nn3)C2=O)C(=O)N1
Z5199085121,-6.34402,0.74896,O=C(NC1CCC(CO)(CO)CC1)c1ccc(C(=O)c2cc[nH]c2)cc1
Z5015316192,-7.96262,0.75191,O=C1CC[C@H](N2Cc3cc(-n4cc(C(=O)N[C@@H]5Cc6ccccc6NC5=O)nn4)ccc3C2=O)C(=O)N1
Z5094966714,-7.73002,0.76075,O=C1CC[C@H](N2C(=O)c3ccc(N4CCNCC4)cc3C2=O)C(=O)N1
Z4910861935,-7.30096,0.76167,N#Cc1cccc(OCc2cn(-c3ccc4c(c3)C(=O)N([C@@H]3CCC(=O)NC3=O)C4)nn2)c1
Z5015214475,-5.65049,0.76450,O=C1CC[C@H](N2Cc3ccc(-n4cc(C(=O)N[C@H]5CCC[C@@H]6OCC[C@H]56)nn4)cc3C2=O)C(=O)N1
Z8634873250,-7.50240,0.77215,NC1CCN(c2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)CC1
Z5000163641,-8.79666,0.77249,O=C1CC[C@H](N2Cc3cc(NC(=O)N4CC5(CNC(=O)N5)C4)ccc3C2=O)C(=O)N1
Z6281502745,-7.49110,0.77416,O=C1CC[C@@H](N2Cc3cc(-n4cc(C(=O)N5CCC[C@H]5C(=O)O)nn4)ccc3C2=O)C(=O)N1
Z381306154,-7.21570,0.77768,O=C(Nc1cc(S(=O)(=O)N2CCCC2)ccc1O)c1ccc2c(=O)[nH]c(S)nc2c1
Z5000147637,-6.04212,0.78034,O=C1CC[C@@H](N2Cc3cc(NS(=O)(=O)c4ccc5[nH]c(=O)oc5c4)ccc3C2=O)C(=O)N1
Z7274222544,-8.15218,0.78132,C[C@@H]1CC[C@@H](C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)OCO4)cc2)NC1
Z7820871651,-7.14851,0.78439,NC(=O)c1ccc2[nH]c(NC(=O)c3csc(C(N)=O)n3)nc2c1
Z15416786,-8.51429,0.78529,CCOc1ccc(N2C(=O)c3ccc(C(=O)O[C@H](C)C(=O)NC4(C#N)CCCCC4)cc3C2=O)cc1
Z1116832097,-7.37588,0.78549,O=C(Nc1cnc(-c2cccc(O)c2)nc1)c1ccc([N+](=O)[O-])s1
Z1571693180,-6.21179,0.78623,N#Cc1ccc(C(=O)Nc2ccc(C[C@H]3NC(=O)NC3=O)cc2)[nH]1
Z6285141495,-8.20754,0.78629,O=C1CC[C@H](N2Cc3cc(-n4cc(C(=O)NC[C@@H]5CCc6ccccc6N5)nn4)ccc3C2=O)C(=O)N1
Z1314094236,-7.86050,0.78653,Cc1noc2ncc(NC(=O)c3ccc(N4CCC(O)CC4)cc3)cc12
Z18708637,-7.62691,0.78719,CCOc1ccc(S(=O)(=O)Nc2ccc(C(=O)OCC(=O)NC3CCCC3)cc2)cc1
Z381091112,-7.68691,0.78817,COc1ccc(/C=C/C(=O)c2ccc(NC(=O)NC(C)C)cc2)cc1
Z3386864182,-7.97676,0.79014,O=C1CC[C@H](N2C(=O)c3cc(F)c(N4CCNCC4)cc3C2=O)C(=O)N1
Z1928974649,-8.63462,0.79515,NC(=O)CN1CCc2ccc(NC(=O)c3ccc(-n4cnnn4)cc3)cc2C1
Z44601997,-6.50666,0.79630,CCCNC(=O)Nc1ccc(N2CCOCC2)c(S(=O)(=O)Nc2ccc(OC)cc2)c1
Z8214602433,-8.23802,0.79784,O=C1CC[C@@H](N2Cc3cc(-n4cc(-c5ccc(C(=O)O)cn5)nn4)ccc3C2=O)C(=O)N1
Z56864955,-7.33635,0.80240,N#Cc1ccc(C(=O)Nc2ccc(-c3csc(NC(=O)c4ccc(C#N)cc4)n3)cc2)cc1
Z2394022520,-7.25615,0.80558,NCCOc1ccc(NC(=O)c2cnc([C@@H]3CCCO3)s2)cc1
