## Torsion are defined with the following atomIDs:
# dihed1: ai= 5371 aj= 2689 ak= 2688 al= 2687
# dihed2: ai= 2690 aj= 2684 ak= 2682 al= 2681
# dihed3: ai= 2680 aj= 2679 ak= 2677 al= 2674
# dihed4: ai= 2679 aj= 2677 ak= 2674 al= 2675
# dihed5: ai= 2676 aj= 2671 ak= 2695 al= 2694
# dihed6: ai= 2692 aj= 2691 ak= 2698 al= 2697
# dihed7: ai= 2691 aj= 2698 ak= 2697 al= 5382
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7
118    3.294   -1.450   15.932 -139.972   68.396  -89.276  176.647
119   11.060   -2.010   -1.374 -117.481   49.437   29.744  150.595
120   15.059  -39.935   43.574 -150.339  -17.361  -69.514 -164.236
121   15.330  -26.593   30.502 -148.279   40.191 -117.182  160.683
122  -11.422  -34.947   31.128 -146.912  177.365  -24.136  168.084
123   14.379    7.064   -2.418 -157.473  153.902  -95.789 -168.302
124   21.415    2.154   27.033 -151.670  163.933  -35.012 -176.699
125   16.850    2.460    6.181 -145.572  161.933  -89.863 -177.789
126   13.257  -23.303   14.521 -129.603  159.297  -23.786  171.257
127   23.687  -16.904   19.446 -148.744  167.741   -8.273 -179.875
128   -5.142    5.982   22.923 -158.002  158.175  -73.133  172.995
129   25.403   -7.893   22.878 -153.603  158.259  -75.990  177.347
130  -18.234  -60.166   38.678 -156.047  154.887  -32.474 -173.037
131    4.867  -31.139   19.653 -149.886  169.737  -46.948 -166.520
132   -9.401  -10.638   17.276 -123.822  140.738 -105.470 -177.791
133   -3.872  -14.815   23.228 -138.564 -130.136  159.547 -157.561
134   14.963   -5.420   23.190 -152.591 -125.431 -138.325  165.972
135   -0.641    4.914   34.953 -152.440 -123.220  -85.534  171.295
136    4.695  -34.640   47.732 -154.810 -112.850  -97.078  173.935
137  -14.542  -33.068   -6.353  -59.733 -117.372    6.822  173.833
138   14.048  -11.361   19.201 -146.702   39.698   18.580 -169.660
139   -8.698  -25.989   27.812 -152.197   23.832   27.675 -167.893
140   15.331  -74.772    7.902 -150.525   36.061 -102.270 -173.028
141  -25.729  -72.906  -16.861  -45.061   55.337  -82.969  172.952
142    4.559  -75.705  -17.493  -35.543   47.148   30.466 -169.414
143  -34.994  -62.001  -26.686  -32.183   56.587  -16.632 -165.164
144  -29.109  -82.559  -12.206  -34.396   49.834 -103.437 -174.146
145  -27.381  -80.839   -4.233  -52.844   51.641   28.317  173.382
146    7.904  -62.486   -0.885  -51.807   66.416  -69.648  172.345
147    5.681  -59.736  -28.838  -28.981   64.400    5.625  168.696
148    9.372  -32.631  -17.763  -27.814   -4.214   55.149 -179.514
149   -3.879  -74.475  -13.229  -27.264   46.143    2.202  173.922
150    8.422  -65.252   -7.997  -22.158  -18.427 -158.734  171.420
151   -5.087  -90.220  -14.604  -37.990   36.746 -100.691 -176.652
152  -17.438  -81.541  -16.471  -43.687   58.100   42.316  165.677
153  -37.264  -75.138   -2.285  -42.772   51.269  156.307 -171.406
154   -0.725  -69.308   -2.151  -53.249   51.487  -81.579  168.996
155  -41.846  -98.269   -4.491  -38.960   47.529    5.488  162.382
156   -1.588  -96.702  -15.848  -38.989   42.473    8.222  173.329
157    6.507  -74.819  -20.578  -39.267   63.419   39.368 -176.640
158    3.057  -73.928   -1.609  -41.298   39.746  147.900 -167.658
159  -29.899  -72.040  -15.992  -45.835   79.382 -102.039 -171.686
160    9.151  -80.951   -7.111  -28.046   52.600  -25.004 -178.302
161  -19.739  -53.219  -20.385  -36.383   44.807 -122.258  172.578
162  -37.758 -107.899   -6.069  -42.494   50.502  -98.540  176.114
163   21.212  -66.733  -12.862  -51.519   38.106  -52.006  168.838
164   -2.421  -75.241    1.900  -37.626   50.840   19.994 -168.886
165   26.700  -57.254   -6.841  -24.242    9.538  141.903 -179.132
166   19.676  -64.535   -5.328  -32.691   37.885 -130.552 -172.166
167   -0.123  -59.781   -5.400  -49.778    0.190  154.589  171.547
168  -20.526  -58.290  -16.481  -22.682   14.505 -116.519  178.708
169  -28.399  -79.525  -11.753  -39.713  -30.853   40.543 -177.985
170    8.262  -48.340   -6.316  -34.135   -9.269  -18.349 -171.159
171   23.330  -61.394    2.272  -47.096  -27.242  138.344  176.654
172   -6.072  -60.136  -39.070   -5.834  -20.089   68.821 -164.108
173    7.731  -74.793  -15.408  -40.726    6.387  -10.837  176.960
174    8.498  -62.327  -16.912  -33.958  -18.071  137.933 -177.375
