  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      244        1.661        5.796            0      380.834      219.720      186.086
      245        1.632        5.534            0      378.267      179.522      190.618
      246        1.316        5.569            0      377.103      136.905      185.869
      247        1.284        5.611            0      377.405      165.687      189.438
      248        1.368        5.567            0      380.107      187.160      184.121
      249        1.157        5.887            0      381.312      214.970      191.147
      250        1.096        5.826            0      379.274      194.986      190.309
      251        1.144        5.539            0      377.868      168.461      188.292
      252        1.312        5.556            0      375.764      182.558      189.791
      253        1.377        5.527            0      377.761      158.546      190.740
      254        1.284        5.650            0      378.335      175.156      182.281
      255        1.164        5.658            0      380.929      168.662      189.406
      256        1.290        5.620            0      379.597      169.737      186.278
      257        1.232        5.467            0      375.629      158.164      188.931
      258        1.315        5.504            0      376.924      162.546      184.321
      259        1.396        5.741            0      381.398      196.544      188.624
      260        1.129        5.452            0      378.608      150.316      187.745
      261        0.966        5.550            0      377.270      202.138      186.104
      262        1.250        5.643            0      379.557      164.761      183.826
      263        1.303        5.670            0      377.672      208.239      180.987
      264        1.216        5.580            0      377.607      204.283      178.617
      265        1.262        5.718            0      377.487      230.970      178.777
      266        1.158        5.700            0      380.291      217.705      180.631
      267        1.566        5.676            0      380.698      219.032      186.911
      268        1.737        5.767            0      379.339      219.753      190.712
      269        2.094        5.749            0      377.616      221.879      186.756
      270        1.442        5.710            0      379.296      179.312      190.073
      271        1.825        5.566            0      375.349      168.144      185.727
      272        1.473        5.599            0      381.178      165.985      187.076
      273        1.828        5.584            0      377.262      148.155      191.704
      274        1.459        5.712            0      382.342      166.845      189.307
      275        1.546        5.576            0      381.453      156.945      189.539
      276        1.769        5.599            0      378.447      159.689      190.916
      277        2.028        5.774            0      379.875      191.814      184.381
      278        1.937        5.715            0      380.542      175.333      190.514
      279        1.815        5.723            0      380.278      196.246      190.116
      280        2.071        5.621            0      374.923      214.877      184.040
      281        1.444        5.698            0      378.779      193.379      188.822
      282        1.632        5.553            0      378.441      198.804      188.984
      283        1.442        5.553            0      378.904      174.544      188.203
      284        1.485        5.594            0      376.757      163.843      191.351
      285        1.771        5.674            0      382.991      165.477      189.743
      286        1.718        5.613            0      379.960      161.752      187.710
      287        1.706        5.599            0      380.629      154.967      189.347
      288        1.864        5.770            0      380.121      176.747      188.790
      289        1.907        5.624            0      381.742      167.440      189.239
      290        1.645        5.675            0      377.214      161.470      185.396
      291        1.651        5.619            0      378.082      162.060      188.075
      292        1.803        5.739            0      378.183      149.162      190.714
      293        1.809        5.528            0      380.226      141.668      188.989
      294        1.834        5.616            0      380.377      151.575      189.505
      295        1.937        5.420            0      377.297      139.450      185.859
      296        1.771        5.353            0      373.725      186.911      176.275
      297        1.401        5.638            0      376.771      200.138      181.503
      298        1.433        5.691            0      379.825      138.898      192.828
      299        1.356        5.591            0      377.171      166.975      188.609
      300        1.406        5.684            0      379.127      131.365      190.846
      301        1.588        5.640            0      376.577      191.314      181.749
      302        1.233        5.732            0      375.622      182.403      186.984
      303        1.043        5.611            0      377.996      180.139      191.126
      304        1.281        5.658            0      378.075      178.154      185.327
      305        0.963        5.716            0      381.380      156.147      187.417
      306        0.932        5.666            0      381.823      221.814      191.300
      307        1.098        5.556            0      377.511      170.870      188.809
