  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       136      6.676           6.735           7.147           6.747           4.488           1.254
       137      6.709           6.847           7.224           6.834           5.070           1.082
       138      7.356           7.507           7.677           7.397           5.410           0.882
       139      7.868           8.008           8.090           7.885           5.612           1.322
       140      7.922           8.044           8.227           7.969           4.576           0.981
       141      7.063           7.172           7.397           7.118           3.858           1.692
       142      7.374           7.499           7.686           7.406           4.616           1.674
       143      7.066           7.188           7.348           7.093           4.210           1.707
       144      7.622           7.759           7.901           7.656           4.491           1.912
       145      7.881           8.010           8.188           7.914           5.500           1.782
       146      7.944           8.058           8.174           7.946           4.488           1.704
       147      8.665           8.802           8.928           8.687           5.226           1.777
       148      8.237           8.337           8.643           8.317           4.717           1.188
       149      7.466           7.557           7.847           7.548           4.708           1.688
       150      6.415           6.498           6.845           6.509           3.899           1.271
       151      6.642           6.710           6.986           6.692           5.024           1.639
       152      6.304           6.366           6.709           6.372           3.921           1.642
       153      6.028           6.038           6.504           6.098           3.581           1.660
       154      6.731           6.811           7.135           6.808           5.161           1.675
       155      6.372           6.434           6.767           6.432           4.491           1.658
       156      6.624           6.762           6.894           6.665           4.696           1.791
       157      6.878           6.977           7.218           6.919           4.713           1.649
       158      7.362           7.419           7.559           7.310           4.667           1.727
       159      6.746           6.761           6.940           6.671           3.356           1.818
       160      6.518           6.532           6.698           6.451           3.998           1.723
       161      6.933           6.956           7.056           6.862           3.571           1.691
       162      6.834           6.874           7.100           6.809           3.693           1.786
       163      6.328           6.334           6.478           6.281           3.728           1.720
       164      6.168           6.202           6.468           6.208           4.181           1.846
       165      6.246           6.283           6.531           6.249           4.156           1.488
       166      6.447           6.533           6.666           6.472           4.207           1.783
       167      7.591           7.670           7.787           7.598           5.219           1.151
       168      7.873           7.937           8.005           7.826           3.917           1.379
       169      7.822           7.910           8.054           7.844           4.325           1.110
       170      7.046           7.083           7.313           7.056           3.192           1.294
       171      8.054           8.124           8.218           8.016           4.441           0.980
       172      7.829           7.872           8.066           7.804           4.385           1.264
       173      7.927           8.003           8.146           7.898           5.364           1.240
       174      8.143           8.238           8.362           8.136           4.982           1.063
       175      8.062           8.105           8.318           8.053           4.086           1.158
       176      8.243           8.354           8.441           8.266           5.943           1.199
       177      7.993           8.046           8.271           7.992           4.596           1.105
       178      7.434           7.507           7.716           7.455           4.964           1.159
       179      7.957           8.033           8.105           7.905           5.081           1.400
       180      7.958           8.067           8.023           7.875           5.121           1.675
       181      7.410           7.459           7.522           7.321           4.651           1.483
       182      7.560           7.629           7.662           7.470           5.123           1.282
       183      7.386           7.439           7.449           7.281           4.338           1.268
       184      7.231           7.296           7.285           7.118           4.253           1.354
       185      6.977           7.051           7.135           6.908           4.047           1.762
       186      6.983           7.088           7.105           6.917           3.931           1.616
