@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
5DXA,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
5DXJ,SFG,NON-POLYMER,381.387,LMXOHSDXUQEUSF-YECHIGJVSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N
5U4X,7VM,NON-POLYMER,458.595,VUIITYLFSAXKIQ-UHFFFAOYSA-N,CNCCN1CCC(CC1)c2cc(ccn2)CN(C)C(=O)c3cccc(c3)Oc4ccccc4
6ARJ,BW4,NON-POLYMER,585.094,OWCOTUVKROVONT-HXUWFJFHSA-N,Cc1c(nc(nc1N2CC3(C2)CCN(CC3)C(=O)OC)c4cc(ccc4Cl)OC[C@@H](CNC)O)c5c(noc5C)C
6ARV,BW7,NON-POLYMER,411.497,CPPUUUMUDLYZRX-QGZVFWFLSA-N,CC(C)n1c2c(cn1)c(cc(n2)c3cccc(c3)OC[C@@H](CN)O)N4CCOCC4
6D2L,FTG,NON-POLYMER,604.7,BSSHHGWCSNARRG-FRWVVBMCSA-N,c1ccc(cc1)CNC[C@@H](CC[C@@H](C(=O)NCCc2ccc(cc2)O)N)C[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O
6DVR,HDG,NON-POLYMER,618.726,ZLHYSNFCYFOANJ-DVTMEHRLSA-N,COc1ccc(cc1)CCNC(=O)[C@@H](CC[C@@H](C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)CNCc5ccccc5)N
6IZQ,XJ2,NON-POLYMER,234.337,YEILCWAUDAOYQR-CQSZACIVSA-N,CNC[C@H](CN1CCCc2ccccc2C1)O
6S70,KYB,NON-POLYMER,450.538,DDMCCWMSVOANNB-SCFUHWHPSA-N,[H]/N=C(/N)\NCCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O
6S71,KYE,NON-POLYMER,494.548,GXIQEXLEUJCLEV-URQYDQELSA-N,[H]/N=C(/N)\NCCCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O
