@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
1PCG,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1QKT,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1QKU,EST,NON-POLYMER,272.382,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
1R5K,GW5,NON-POLYMER,354.441,HJQQVNIORAQATK-DDJBQNAASA-N,CC/C(=C(\c1ccccc1)/c2ccc(cc2)/C=C/C(=O)O)/c3ccccc3
1SJ0,E4D,NON-POLYMER,463.588,TWZNCTCQAGRUGQ-RRPNLBNLSA-N,c1cc(ccc1[C@@H]2[C@@H](Oc3ccc(cc3S2)O)c4ccc(cc4)OCCN5CCCCC5)O
1UOM,PTI,NON-POLYMER,428.566,FMWVCTJKLAVRPB-MUUNZHRXSA-N,c1ccc(cc1)N2CCc3cc(ccc3[C@H]2c4ccc(cc4)OCCN5CCCCC5)O
1X7E,244,NON-POLYMER,265.263,ZKJVCUXZMYKTLT-UHFFFAOYSA-N,c1cc(ccc1c2cc3cc(cc(c3o2)CC#N)O)O
1X7R,GEN,NON-POLYMER,270.237,TZBJGXHYKVUXJN-UHFFFAOYSA-N,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O
1XP1,AIH,NON-POLYMER,477.615,COJFASLRENZFLP-UXHLOXSISA-N,C[C@H]1CN(C[C@@H]1C)CCOc2ccc(cc2)[C@H]3[C@H](Sc4cc(ccc4O3)O)c5ccc(cc5)O
1XP6,AIU,NON-POLYMER,477.615,COJFASLRENZFLP-FNZLKOBSSA-N,C[C@@H]1CN(C[C@H]1C)CCOc2ccc(cc2)[C@H]3[C@H](Sc4cc(ccc4O3)O)c5ccc(cc5)O
1XP9,AIJ,NON-POLYMER,463.588,UZOOIPXOYYJULJ-RHLLTPQKSA-N,C[C@@H](COc1ccc(cc1)[C@H]2[C@H](Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5
1XPC,AIT,NON-POLYMER,463.588,UZOOIPXOYYJULJ-BLIZRMSTSA-N,C[C@H](COc1ccc(cc1)[C@H]2[C@H](Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5
1XQC,AEJ,NON-POLYMER,439.592,ZGHFWBDHZZKWSI-LITSAYRRSA-N,c1ccc(cc1)[N@@]2CCc3cc(ccc3[C@H]2c4ccc(cc4)[N@]5CC[N@@]6CCCC[C@H]6C5)O
1YIM,CM4,NON-POLYMER,445.55,XPVKGTWRXBSJKO-LHXLBICKSA-N,C[C@@H]1c2cc(ccc2O[C@H]([C@H]1c3ccc(cc3)O)c4ccc(cc4)OCCN5CCCC5)O
