@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
6ACR,9TO,NON-POLYMER,344.37,ANTWQGSNXAZMBT-UHFFFAOYSA-N,COc1ccc(cc1)Nc2nccc(n2)c3c[nH]nc3c4cccnc4
6EIX,A3F,NON-POLYMER,352.384,CJLMANFTWLNAKC-UHFFFAOYSA-N,COc1cc(cc(c1OC)OC)c2cc(cnc2N)c3cccc(c3)O
6GI6,EZB,NON-POLYMER,287.315,UUGUFBFLQOTDIV-UHFFFAOYSA-N,Cc1c(ccc2c1C(=O)NC=N2)c3cccc4c3cccn4
6GIN,IR2,NON-POLYMER,434.489,MTDJGYWCNQTZLJ-UHFFFAOYSA-N,c1ccc2c(c1)c(ccn2)c3ccc4c(c3)C(=O)N(C=N4)c5ccc(cc5)N6CCOCC6
6GIP,EUN,NON-POLYMER,301.342,CNEUJSQUCXSRDD-UHFFFAOYSA-N,Cc1c(ccc2c1C(=O)NC(=N2)C)c3ccnc4c3cccc4
6I1S,E26,NON-POLYMER,389.442,MWUFVYLAWAXDHQ-HMNLTAHHSA-N,CCNc1cc\2c(c(c1)O)C(=O)O[C@H]([C@@H](/C=C\C(=O)[C@H]([C@H](C/C=C2)O)O)C)C
6JUX,C9U,NON-POLYMER,426.517,FOCILHGCJYYBPA-UHFFFAOYSA-N,CCn1cc(c(n1)c2cccnc2)c3ccnc(n3)Nc4ccc(cc4)N5CCNCC5
6SRH,LU8,NON-POLYMER,432.555,CNEAZWBYXISKKK-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCN(CC4)C
6SZM,M2Z,non-polymer,419.516,RKBYYWVZFBATHQ-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)N4CCNCC4
6T6D,MM8,non-polymer,402.489,GFEAXKZXFORDDU-UHFFFAOYSA-N,Cc1c(cncc1c2ccc(c(c2)OC)C(=O)N)c3ccc(cc3)N4CCNCC4
6T8N,MVE,non-polymer,516.678,JQUZALVIPZBANO-UHFFFAOYSA-N,CCOC1(CCN(CC1)C(C)C)c2ccc(nc2)c3cc4c(ccnn4c3)N5CCN(CC5)C(=O)C6CC6
6TN8,5U6,NON-POLYMER,353.415,BJFSUDWKXGMUKA-UHFFFAOYSA-N,CN1C=C(c2ccncc2C1=O)c3cc(c(cc3OC)CN(C)C)OC
6UNQ,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
6UNR,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
6UNS,LDN,NON-POLYMER,406.482,CDOVNWNANFFLFJ-UHFFFAOYSA-N,c1ccc2c(c1)c(ccn2)c3cnn4c3ncc(c4)c5ccc(cc5)N6CCNCC6
6Z36,Q5Z,non-polymer,418.528,WGZBSMWSGOJXPI-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)C4CCNCC4
6ZGC,H8H,NON-POLYMER,542.026,OUKYUETWWIPKQR-UHFFFAOYSA-N,CN1CCN(CC1)CCOc2cc3c(c(c2)OC4CCOCC4)c(ncn3)Nc5c(ccc6c5OCO6)Cl
7A21,QWQ,non-polymer,418.528,LRZCFVDFECJERV-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)OC)OC)OC)c3ccc(cc3)CN4CCCC4
7C3G,FH0,non-polymer,468.554,OCSGNUMYNBZDDW-UHFFFAOYSA-N,CN1CCN(CC1)c2ccc(cc2)Nc3nccc(n3)c4c5n(nc4c6cccnc6)CCOC5
7NNS,C87,NON-POLYMER,414.46,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,c1cc(ccc1c2ccnc(n2)Nc3ccc(cc3)N4CCOCC4)C(=O)NCC#N
8C7W,U0C,non-polymer,460.568,YNAFROCLXSLUGD-UHFFFAOYSA-N,CN1Cc2cc(ccc2-c3cncc(c3C1)c4cc(c(c(c4)OC)OC)OC)N5CCNCC5
8C7Z,TZX,non-polymer,447.526,QFFKJPJEWNRMHC-UHFFFAOYSA-N,COc1cc(cc(c1OC)OC)c2cncc-3c2CCOc4c3ccc(c4)N5CCNCC5
8POD,7IO,non-polymer,406.479,FFLJVBPCONQSQW-UHFFFAOYSA-N,c1ccc2c(c1)c(ccn2)c3coc4c3ncc(c4)c5ccc(cc5)N6CCNCC6
8R7G,YEE,non-polymer,462.559,RIWTUJFFSTVYPW-UHFFFAOYSA-N,Cc1c(cncc1c2cc(c(c(c2)F)C(=O)N)OC)c3ccc(cc3)N4CCN(CC4)C(C)C
1REU,MPD,NON-POLYMER,118.174,SVTBMSDMJJWYQN-YFKPBYRVSA-N,C[C@@H](CC(C)(C)O)O
2GOO,NDG,"D-saccharide, alpha linking",221.208,OVRNDRQMDRJTHS-PVFLNQBWSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O
3BMP,MPD,NON-POLYMER,118.174,SVTBMSDMJJWYQN-YFKPBYRVSA-N,C[C@@H](CC(C)(C)O)O
4UI0,FLC,NON-POLYMER,189.1,KRKNYBCHXYNGOX-UHFFFAOYSA-K,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
4UI2,SRT,NON-POLYMER,150.087,FEWJPZIEWOKRBE-XIXRPRMCSA-N,[C@H]([C@H](C(=O)O)O)(C(=O)O)O
